"","Player.Name","Salary","Position","Age","Team","Games Played","Games Started","Minutes Played","Field Goals Made","Field Goals Attempted","FG..x","3-Pointers Made","X3P..x","2-Pointers Made","X2P..x","eFG.","Free-Throws Made","FTA.x","FT..x","PTS.x","Total.Minutes","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP","Is_NBA","X2022.Signing","PTS.y","FG..y","X2P..y","X3P..y","FTA.y","FT..y","3-Pointers Attempted","2-Pointers Attempted","Free-Throws Attempted","Offensive Rebounds","Defensive Rebounds","Total Rebounds","Assists","Steals","Blocks","Turnovers","Personal Fouls"
"95","Zion Williamson",13534817,"PF",22,"NOP",29,29,33,9.8,16.2,0.608,0.2,0.368,9.6,0.618,0.615,6.1,8.6,0.714,26,956,25.2,0.652,0.041,0.529,6.9,17,12,24.4,1.6,1.6,14.6,30.4,2.3,1.2,3.6,0.18,4.8,1,5.8,1.9,1,NA,NA,NA,NA,NA,NA,NA,0.7,15.5,8.6,2,5,7,4.6,1.1,0.6,3.4,2.2
"96","Jordan Clarkson",13340000,"SG",30,"UTA",61,61,32.6,7.5,16.9,0.444,2.5,0.338,5,0.53,0.519,3.3,4,0.816,20.8,1988,14.7,0.558,0.445,0.238,4,9.3,6.7,20.9,0.8,0.6,14,27.8,0.9,0.8,1.7,0.042,1,-2.4,-1.4,0.3,1,NA,NA,NA,NA,NA,NA,NA,7.5,9.4,4,1.2,2.9,4,4.4,0.5,0.2,3,2
"97","Gary Harris",13000000,"SG",28,"ORL",48,42,24.7,2.9,6.4,0.45,2,0.431,0.9,0.494,0.603,0.6,0.6,0.9,8.3,1184,10.5,0.62,0.71,0.098,2,7.4,4.7,6.9,1.8,1,8,12.6,1.3,1.1,2.3,0.095,-1.4,0.7,-0.7,0.4,1,NA,NA,NA,NA,NA,NA,NA,4.5,1.9,0.6,0.4,1.6,2,1.2,0.9,0.3,0.6,1.9
"98","Kyle Kuzma",13000000,"PF",27,"WAS",64,64,35,8,17.8,0.448,2.5,0.333,5.5,0.533,0.518,2.7,3.7,0.73,21.2,2239,14.3,0.544,0.421,0.208,2.8,19.5,11.5,16.5,0.8,1.1,13.2,27.9,-1,1.9,0.9,0.019,-0.2,-1.5,-1.7,0.2,1,NA,NA,NA,NA,NA,NA,NA,7.5,10.3,3.7,0.9,6.4,7.2,3.7,0.6,0.5,3,2.3
"99","Josh Hart",12960000,"SF",27,"NYK/POR",76,52,32.3,3.6,6.8,0.529,0.8,0.372,2.8,0.601,0.588,1.7,2.3,0.75,9.8,2454,14.1,0.622,0.315,0.338,6.5,21,13.7,16.1,1.8,0.8,16.4,12.6,3.8,2.2,6,0.118,-0.2,1.1,0.9,1.8,1,NA,NA,NA,NA,NA,NA,NA,2.2,4.7,2.3,1.9,5.9,7.8,3.8,1.2,0.3,1.5,2.6
"100","Dorian Finney-Smith",12939848,"PF",29,"BRK/DAL",66,66,30.4,3,7.6,0.391,1.7,0.337,1.2,0.503,0.505,0.7,0.9,0.763,8.3,2009,9.2,0.523,0.675,0.118,6.5,11.5,9,6.7,1.4,1.6,10.5,13.2,0.6,1.6,2.1,0.051,-1.7,-0.3,-2,0,1,NA,NA,NA,NA,NA,NA,NA,5.1,2.5,0.9,1.7,3.1,4.8,1.5,0.8,0.5,0.9,2.2
"101","Kelly Olynyk",12804878,"C",31,"UTA",68,68,28.6,4.1,8.2,0.499,1.4,0.394,2.7,0.576,0.583,2.9,3.4,0.853,12.5,1942,14.4,0.643,0.424,0.417,4.6,18.6,11.7,17.6,1.5,1.6,20.3,17.8,2.4,1.9,4.3,0.106,-0.4,0.9,0.4,1.2,1,NA,NA,NA,NA,NA,NA,NA,3.5,4.7,3.4,1.2,5,6.2,3.7,0.9,0.5,2.5,3.4
"102","Chris Boucher",12690000,"PF",30,"TOR",76,0,20,3.4,7,0.493,0.8,0.328,2.6,0.585,0.552,1.7,2.2,0.762,9.4,1523,18,0.59,0.357,0.318,10.9,21.2,15.7,2.7,1.5,4.1,6.4,18,3,2,5,0.156,0.7,-0.8,-0.1,0.7,1,NA,NA,NA,NA,NA,NA,NA,2.5,4.5,2.2,2.1,3.5,5.5,0.4,0.6,0.8,0.5,1.9
"103","Robert Covington",12307692,"PF",32,"LAC",48,0,16.2,2.1,4.8,0.445,1.1,0.397,1,0.516,0.563,0.6,0.8,0.75,6,779,14.2,0.584,0.594,0.175,4.5,19.2,11.9,10.2,2.4,3.7,11.5,15.6,0.7,1.2,1.9,0.117,-0.5,2.1,1.7,0.7,1,NA,NA,NA,NA,NA,NA,NA,2.8,1.9,0.8,0.6,2.8,3.5,1.2,0.8,0.7,0.7,1.8
"104","Josh Richardson",12196094,"SG",29,"NOP/SAS",65,10,23.5,3.7,8.5,0.431,1.6,0.365,2,0.506,0.528,1.1,1.2,0.852,10.1,1530,12.3,0.555,0.529,0.146,2.9,9.9,6.3,15.8,2.2,1.2,12.7,18.4,0.6,1.1,1.8,0.055,-1,-0.1,-1.2,0.3,1,NA,NA,NA,NA,NA,NA,NA,4.5,4,1.2,0.6,2.1,2.7,2.7,1.1,0.3,1.3,1.8
"105","Ja Morant",12119440,"PG",23,"MEM",61,59,31.9,9.3,19.9,0.466,1.5,0.307,7.8,0.519,0.504,6.1,8.1,0.748,26.2,1948,23.3,0.557,0.247,0.409,3.3,16.1,9.7,41.1,1.6,0.7,12.6,34.9,3.4,2.6,6,0.148,5.2,0.5,5.7,3.8,1,NA,NA,NA,NA,NA,NA,NA,4.9,15,8.1,1,4.9,5.9,8.1,1.1,0.3,3.4,1.6
"106","Danny Green",11710528,"SG",35,"CLE/MEM",11,0,12.5,2,4.5,0.449,1.5,0.432,0.5,0.5,0.612,0.1,0.1,1,5.5,138,10.8,0.617,0.755,0.02,2.5,9.1,5.8,6.1,2.2,2,16.8,18.9,0,0.2,0.2,0.059,-2.1,0.2,-1.9,0,1,NA,NA,NA,NA,NA,NA,NA,3.4,1.1,0.1,0.3,1,1.3,0.5,0.5,0.3,0.9,1.5
"107","Terrence Ross",11500000,"SG",31,"ORL/PHO",63,9,21.1,3.2,7.4,0.43,1.5,0.368,1.7,0.507,0.532,0.4,0.5,0.794,8.3,1330,10.2,0.544,0.555,0.073,1.8,11.2,6.5,10.2,1.3,0.7,8.2,16.8,0.5,1.2,1.6,0.059,-1.8,-0.3,-2.1,0,1,NA,NA,NA,NA,NA,NA,NA,4.1,3.3,0.5,0.3,2.1,2.4,1.5,0.6,0.2,0.7,1.5
"108","Reggie Jackson",11457217,"PG",32,"DEN/LAC",68,40,24.4,3.9,9.4,0.411,1.4,0.333,2.5,0.474,0.486,1,1.1,0.91,10.2,1657,10,0.514,0.45,0.122,1.7,8,4.9,20,1.4,0.3,14.6,20.8,-0.6,1.2,0.6,0.018,-2.9,-1.1,-3.9,-0.8,1,NA,NA,NA,NA,NA,NA,NA,4.2,5.2,1.1,0.4,1.8,2.1,3.4,0.7,0.1,1.7,1.7
"109","Dillon Brooks",11400000,"SF",27,"MEM",73,73,30.3,5.4,13.6,0.396,2,0.326,3.4,0.451,0.468,1.6,2.1,0.779,14.3,2214,9.4,0.494,0.443,0.155,2.2,9.5,5.8,11.7,1.4,0.7,8.9,21.8,-0.8,2.4,1.6,0.034,-3.4,-0.5,-3.9,-1.1,1,NA,NA,NA,NA,NA,NA,NA,6,7.6,2.1,0.6,2.7,3.3,2.6,0.9,0.2,1.4,3.3
"110","Richaun Holmes",11215260,"C",29,"SAC",42,1,8.3,1.3,2.1,0.618,0.1,0.625,1.2,0.617,0.646,0.4,0.5,0.789,3.1,348,12.9,0.668,0.09,0.213,9.6,16.6,13.1,3.5,0.4,2.8,12.6,13.7,0.6,0.3,0.8,0.113,-2,-0.9,-2.9,-0.1,1,NA,NA,NA,NA,NA,NA,NA,0.2,1.9,0.5,0.7,1.2,1.9,0.2,0.1,0.3,0.3,1.2
"111","Dwight Powell",11080125,"C",31,"DAL",76,64,19.2,2.6,3.5,0.732,0,0,2.6,0.746,0.732,1.5,2.2,0.667,6.7,1458,15.5,0.738,0.019,0.625,11.8,13.3,12.5,6.9,1.6,1.6,15.9,12.6,3.8,1.3,5.1,0.168,-1.2,0,-1.2,0.3,1,NA,NA,NA,NA,NA,NA,NA,0.1,3.5,2.2,2,2.2,4.1,0.9,0.6,0.3,0.9,2.8
"112","Paolo Banchero",11055120,"PF",20,"ORL",72,72,33.8,6.7,15.6,0.427,1.2,0.298,5.5,0.471,0.465,5.5,7.4,0.738,20,2430,14.9,0.529,0.254,0.476,3.9,19.3,11.6,17.2,1.2,1.5,12.8,27.5,-0.3,2.6,2.4,0.047,-0.7,-0.7,-1.5,0.3,1,NA,NA,NA,NA,NA,NA,NA,4,11.6,7.4,1.2,5.7,6.9,3.7,0.8,0.5,2.8,2.2
"113","RJ Barrett",10900634,"SG",22,"NYK",73,73,33.9,7,16.1,0.434,1.7,0.31,5.3,0.495,0.485,4,5.4,0.74,19.6,2475,12.9,0.531,0.332,0.333,2.7,13.7,8.2,12.4,0.6,0.6,10.8,26.2,0.5,1.8,2.2,0.043,-1.2,-1.9,-3.1,-0.7,1,NA,NA,NA,NA,NA,NA,NA,5.3,10.8,5.4,0.8,4.2,5,2.8,0.4,0.2,2.2,2.5
"114","Bobby Portis",10843350,"PF",27,"MIL",70,22,26,5.7,11.5,0.496,1.4,0.37,4.3,0.555,0.555,1.4,1.8,0.768,14.1,1818,17.8,0.575,0.32,0.156,9.2,28.6,19.3,8.7,0.8,0.7,8.6,21.7,2.5,2.8,5.3,0.139,1.2,-0.6,0.7,1.2,1,NA,NA,NA,NA,NA,NA,NA,3.7,7.8,1.8,2.2,7.4,9.6,1.5,0.4,0.2,1.2,1.6
"115","DeAndre Jordan",10733758,"C",34,"DEN",39,8,15,2.3,2.9,0.765,0,1,2.2,0.763,0.77,0.6,1.2,0.458,5.1,586,14.7,0.731,0.009,0.417,10.5,28.6,19.8,7.7,1,3.5,26.1,13.7,0.5,0.9,1.4,0.112,-2.4,0.7,-1.8,0,1,NA,NA,NA,NA,NA,NA,NA,0,2.9,1.2,1.3,3.8,5.2,0.9,0.3,0.6,1.2,1.8
"116","Anthony Edwards",10733400,"SG",21,"MIN",79,79,36,8.9,19.5,0.459,2.7,0.369,6.3,0.513,0.528,4,5.3,0.756,24.6,2842,17.4,0.564,0.375,0.274,1.9,15.9,9,19.3,2.1,1.8,13,29.9,0.2,3.6,3.8,0.064,1,0,1,2.1,1,NA,NA,NA,NA,NA,NA,NA,7.3,12.2,5.3,0.6,5.2,5.8,4.4,1.6,0.7,3.3,2.4
